point_id,visit_day,cluster_id,order_in_route,manager,lat,lon
ID213,1,0,0,0,56.27495016233023,44.03785414450493
ID74,1,0,1,0,56.27813843693768,44.03944616978645
ID85,1,0,2,0,56.30610734595009,44.06052534848765
ID189,1,0,3,0,56.30408625934168,44.06002451608887
ID68,1,0,4,0,56.30822455418038,44.06158781833284
ID63,1,0,5,0,56.290673289612585,44.067094632127656
ID37,1,1,6,0,55.427609151426935,42.49939828980064
ID36,1,1,7,0,55.43537250757257,42.52316343128228
ID608,1,2,8,0,56.10869008321072,43.5101334511826
ID607,1,2,9,0,56.10513459255443,43.51905887631911
ID610,2,2,0,0,56.11327458128344,43.47977040809009
ID609,2,2,1,0,56.0958984131992,43.49309861190673
ID493,2,2,2,0,56.10428272232847,43.51735122742757
ID47,2,3,3,0,54.922935645557935,43.35049842868335
ID497,2,4,4,0,56.34663324126894,43.92054021646418
ID433,2,4,5,0,56.34614206423328,43.92010389321781
ID591,2,4,6,0,56.34473380676616,43.91737640604992
ID522,2,4,7,0,56.33066330638327,43.90628079675738
ID584,2,4,8,0,56.34599713045732,43.90346593523429
ID590,2,4,9,0,56.34636454504447,43.92140961475801
ID517,3,5,0,0,55.936897446669,43.07490555714855
ID627,3,5,1,0,55.94650129792982,43.046263180285095
ID155,3,8,2,0,56.262022890957454,43.45662629492022
ID152,3,8,3,0,56.2522660524228,43.43284064796582
ID552,3,9,4,0,56.47917956888962,43.60302571282397
ID184,3,10,5,0,56.19260774419762,44.12216509543693
ID92,3,10,6,0,56.18851019103497,44.12252352412147
ID290,3,11,7,0,56.23837426197,43.895168071001656
ID427,3,11,8,0,56.23645354710545,43.879764317419614
ID287,3,11,9,0,56.22973025002562,43.87947362950832
ID428,4,11,0,0,56.230331666197785,43.88199714832089
ID15,4,12,1,0,55.54830808968011,42.04996618435897
ID578,4,13,2,0,56.38450921598554,43.79314250962581
ID527,4,13,3,0,56.393815155527335,43.756454318817305
ID560,4,13,4,0,56.36396579610545,43.78594148203294
ID476,4,13,5,0,56.36541657103191,43.785892545864186
ID164,4,14,6,0,56.202938251824754,42.67475307658381
ID143,4,14,7,0,56.20152985013721,42.70811765758262
ID77,4,15,8,0,56.23913441478052,43.99656689672101
ID79,4,15,9,0,56.2415388606825,44.01006177487358
