point_id,visit_day,cluster_id,order_in_route,manager,lat,lon
ID177,1,0,0,2,56.30569610075784,44.06263419253496
ID239,1,0,1,2,56.2893654650396,44.06591785559318
ID67,1,0,2,2,56.30368748230927,44.060671878790586
ID69,1,0,3,2,56.30865577138126,44.05717836597057
ID70,1,0,4,2,56.31124453037473,44.0516261819221
ID238,1,0,5,2,56.30273245954083,44.04949596581684
ID169,1,0,6,2,56.29116596384266,44.05896675037757
ID244,1,0,7,2,56.31408877424422,44.05771879835593
ID496,1,2,8,2,56.11251982108283,43.48276869264804
ID606,1,2,9,2,56.11241184160043,43.534708915284064
ID494,2,2,0,2,56.10556194595998,43.51248112963457
ID509,2,2,1,2,56.11475740214236,43.53026966014696
ID43,2,3,2,2,54.92198699912954,43.34884840014151
ID585,2,4,3,2,56.34906142196027,43.90473000769588
ID583,2,4,4,2,56.343872188166806,43.88905294133682
ID582,2,4,5,2,56.34260443458897,43.8860802102411
ID435,2,4,6,2,56.35159044830838,43.89123511676826
ID514,2,5,7,2,55.94015688371304,43.07157590848105
ID626,2,5,8,2,55.93743147332916,43.07349006205485
ID515,2,5,9,2,55.95618362904333,43.05487336058568
ID516,3,5,0,2,55.94123911998357,43.04562483240888
ID30,3,6,1,2,55.32768378349463,42.06242953831091
ID5,3,7,2,2,55.3812871333742,43.81145158954393
ID2,3,7,3,2,55.35838119059491,43.84506133794914
ID235,3,8,4,2,56.246955307060425,43.43396433090513
ID153,3,8,5,2,56.25306916901396,43.453250520779605
ID151,3,8,6,2,56.24889995316328,43.43379039321995
ID123,3,8,7,2,56.25640557030996,43.454639614343385
ID451,3,9,8,2,56.4928037255994,43.61592946468394
ID185,3,10,9,2,56.19050157694655,44.119771254627054
ID90,4,10,0,2,56.19607932895915,44.12295531019916
ID187,4,10,1,2,56.215175178779006,44.10177941854473
ID288,4,11,2,2,56.23171015587958,43.87846476754461
ID426,4,11,3,2,56.23227914085359,43.87707548210688
ID97,4,11,4,2,56.20285705047222,43.88030266668006
ID286,4,11,5,2,56.23027380675578,43.87698524676134
ID32,4,12,6,2,55.56534590604467,42.06375597294895
ID577,4,13,7,2,56.38109450232248,43.78586136139161
ID555,4,13,8,2,56.38821631756318,43.75494524124564
ID576,4,13,9,2,56.38588191417029,43.78399793138744
ID165,5,14,0,2,56.20299104015464,42.70654860284195
ID211,5,15,1,2,56.24292105889903,43.99483310284504
ID76,5,15,2,2,56.244868585656576,43.99595531977031
ID208,5,15,3,2,56.24047021823604,43.99942714897963
ID376,5,16,4,2,56.26510790927786,43.94915265015328
ID398,5,16,5,2,56.28347292098022,43.95455682071499
ID270,5,16,6,2,56.29472942708435,43.95177008398834
ID216,5,18,7,2,56.138047248095226,44.19678457310791
ID215,5,18,8,2,56.13675389288443,44.19234889759326
ID597,5,19,9,2,56.35178091068018,44.08731513593583
ID545,6,21,0,2,56.3700352094783,43.84568706713405
ID573,6,21,1,2,56.36678706119224,43.84375283664702
ID25,6,22,2,2,55.32441670762539,42.16471662647033
ID13,6,22,3,2,55.31360980116675,42.1617434415603
ID28,6,22,4,2,55.33832740008441,42.165481867385445
ID14,6,22,5,2,55.35339439082952,42.1604651722134
ID328,6,23,6,2,56.29042170452277,43.880942440876005
ID617,6,23,7,2,56.29855724009085,43.89627769741357
ID396,6,23,8,2,56.28571037463513,43.899322271150254
ID486,6,23,9,2,56.299076805571374,43.8906640822286
ID395,7,23,0,2,56.28646703692454,43.890841617793306
ID324,7,23,1,2,56.29112315326828,43.89379471585608
ID132,7,24,2,2,56.2401168732311,43.52221026622027
ID156,7,24,3,2,56.24946345111653,43.49433779185123
ID101,7,24,4,2,56.24454959129702,43.49051409244215
ID192,7,24,5,2,56.24446082434155,43.49854004575904
ID131,7,24,6,2,56.24197980004377,43.52404471965556
ID412,7,25,7,2,56.24869347260733,43.82864135001115
ID315,7,25,8,2,56.24669099084166,43.83758101022783
ID411,7,25,9,2,56.25044752655315,43.82040029003241
ID630,8,26,0,2,55.98497811919985,43.10727462255676
ID513,8,26,1,2,55.9857525374951,43.10507394765211
ID543,8,27,2,2,56.32128525991788,43.91733838250226
ID568,8,27,3,2,56.31987899842998,43.93210802276611
ID134,8,27,4,2,56.344488410051454,43.93989748789008
ID31,8,28,5,2,55.54174673093421,42.205918756201285
ID375,8,29,6,2,56.26839702738259,43.93974556727909
ID431,8,29,7,2,56.24873924691146,43.922329352490735
ID294,8,29,8,2,56.26656997576941,43.93707942700749
ID251,8,30,9,2,56.29858244875151,43.99333506165431
ID254,9,30,0,2,56.29513128523346,43.99987422207735
ID52,9,30,1,2,56.28465326757238,43.999825233775525
ID171,9,30,2,2,56.290408594072645,44.0143074816523
ID139,9,30,3,2,56.31017928777103,44.00476424167771
ID482,9,32,4,2,56.32799742204136,43.84228021646029
ID565,9,32,5,2,56.328805910055486,43.83714456894168
ID525,9,33,6,2,56.39937897961171,43.70839697707233
ID336,9,34,7,2,56.26173286647592,43.90578196583705
ID285,9,34,8,2,56.24186572464441,43.906407238072106
ID432,9,34,9,2,56.258334504042494,43.91605678729983
ID421,10,34,0,2,56.25648229177595,43.91005634497122
ID334,10,34,1,2,56.2597973218662,43.91012459602735
ID385,10,34,2,2,56.261771449986064,43.91534375267658
ID284,10,34,3,2,56.256834393123874,43.91342292026935
ID338,10,34,4,2,56.25707635118715,43.89910894761912
ID391,10,35,5,2,56.26907615829779,43.84784642129711
ID417,10,35,6,2,56.26921381267968,43.86114891272839
ID306,10,35,7,2,56.26509752294236,43.85338303920796
ID418,10,35,8,2,56.26627689545059,43.85670844052454
ID420,10,35,9,2,56.26832267982871,43.86116112234606
ID305,11,35,0,2,56.26498207556229,43.85463346854668
ID419,11,35,1,2,56.26754843107752,43.85704605628617
