point_id,visit_day,manager,order_in_route
ID213,1,0,0
ID74,1,0,1
ID85,1,0,2
ID189,1,0,3
ID68,1,0,4
ID63,1,0,5
ID37,1,0,6
ID36,1,0,7
ID608,1,0,8
ID607,1,0,9
ID610,2,0,0
ID609,2,0,1
ID493,2,0,2
ID47,2,0,3
ID497,2,0,4
ID433,2,0,5
ID591,2,0,6
ID522,2,0,7
ID584,2,0,8
ID590,2,0,9
ID517,3,0,0
ID627,3,0,1
ID155,3,0,2
ID152,3,0,3
ID552,3,0,4
ID184,3,0,5
ID92,3,0,6
ID290,3,0,7
ID427,3,0,8
ID287,3,0,9
ID428,4,0,0
ID15,4,0,1
ID578,4,0,2
ID527,4,0,3
ID560,4,0,4
ID476,4,0,5
ID164,4,0,6
ID143,4,0,7
ID77,4,0,8
ID79,4,0,9
ID80,5,0,0
ID209,5,0,1
ID212,5,0,2
ID266,5,0,3
ID264,5,0,4
ID267,5,0,5
ID145,5,0,6
ID144,5,0,7
ID219,5,0,8
ID115,5,0,9
ID221,6,0,0
ID118,6,0,1
ID114,6,0,2
ID220,6,0,3
ID116,6,0,4
ID217,6,0,5
ID596,6,0,6
ID599,6,0,7
ID507,6,0,8
ID506,6,0,9
ID503,7,0,0
ID571,7,0,1
ID572,7,0,2
ID557,7,0,3
ID575,7,0,4
ID473,7,0,5
ID528,7,0,6
ID529,7,0,7
ID19,7,0,8
ID342,7,0,9
ID400,8,0,0
ID325,8,0,1
ID403,8,0,2
ID327,8,0,3
ID402,8,0,4
ID344,8,0,5
ID191,8,0,6
ID194,8,0,7
ID100,8,0,8
ID312,8,0,9
ID313,9,0,0
ID409,9,0,1
ID281,9,0,2
ID413,9,0,3
ID316,9,0,4
ID512,9,0,5
ID444,9,0,6
ID544,9,0,7
ID542,9,0,8
ID581,9,0,9
ID457,10,0,0
ID443,10,0,1
ID442,10,0,2
ID20,10,0,3
ID21,10,0,4
ID292,10,0,5
ID378,10,0,6
ID283,10,0,7
ID379,10,0,8
ID386,10,0,9
ID271,11,0,0
ID256,11,0,1
ID255,11,0,2
ID453,11,0,3
ID566,11,0,4
ID526,11,0,5
ID554,11,0,6
ID351,11,0,7
ID350,11,0,8
ID337,11,0,9
ID349,12,0,0
ID308,12,0,1
ID307,12,0,2
ID318,12,0,3
ID392,12,0,4
ID87,12,0,5
ID226,12,0,6
ID161,12,0,7
ID625,12,0,8
ID166,12,0,9
ID56,13,0,0
ID465,13,0,1
ID57,13,0,2
ID61,13,0,3
ID168,13,0,4
ID246,13,0,5
ID58,13,0,6
ID60,13,0,7
ID247,13,0,8
ID259,13,0,9
ID623,14,0,0
ID170,14,0,1
ID167,14,0,2
ID601,14,0,3
ID502,14,0,4
ID541,14,0,5
ID579,14,0,6
ID440,14,0,7
ID441,14,0,8
ID456,14,0,9
ID459,15,0,0
ID42,15,0,1
ID38,15,0,2
ID588,15,0,3
ID523,15,0,4
ID587,15,0,5
ID570,15,0,6
ID589,15,0,7
ID439,15,0,8
ID279,15,0,9
ID368,16,0,0
ID278,16,0,1
ID364,16,0,2
ID363,16,0,3
ID366,16,0,4
ID319,16,0,5
ID321,16,0,6
ID353,16,0,7
ID299,16,0,8
ID300,16,0,9
ID422,17,0,0
ID304,17,0,1
ID423,17,0,2
ID17,17,0,3
ID83,17,0,4
ID82,17,0,5
ID84,17,0,6
ID93,17,0,7
ID196,17,0,8
ID180,17,0,9
ID207,18,0,0
ID201,18,0,1
ID202,18,0,2
ID330,18,0,3
ID329,18,0,4
ID405,18,0,5
ID620,18,0,6
ID406,18,0,7
ID618,18,0,8
ID567,18,0,9
ID10,19,0,0
ID34,19,0,1
ID22,19,0,2
ID214,19,0,3
ID225,19,0,4
ID86,19,0,5
ID241,19,0,6
ID295,19,0,7
ID534,19,0,8
ID296,19,0,9
ID346,20,0,0
ID323,20,0,1
ID282,20,0,2
ID468,20,0,3
ID616,20,0,4
ID467,20,0,5
ID12,20,0,6
ID206,20,0,7
ID146,20,0,8
ID232,20,0,9
ID150,21,0,0
ID124,21,0,1
ID333,21,0,2
ID558,21,0,3
ID475,21,0,4
ID602,21,0,5
ID605,21,0,6
ID182,21,0,7
ID222,21,0,8
ID183,21,0,9
ID224,22,0,0
ID73,1,1,0
ID176,1,1,1
ID62,1,1,2
ID243,1,1,3
ID495,1,1,4
ID611,1,1,5
ID39,1,1,6
ID437,1,1,7
ID436,1,1,8
ID629,1,1,9
ID628,2,1,0
ID8,2,1,1
ID3,2,1,2
ID1,2,1,3
ID154,2,1,4
ID236,2,1,5
ID237,2,1,6
ID122,2,1,7
ID551,2,1,8
ID447,2,1,9
ID548,3,1,0
ID91,3,1,1
ID89,3,1,2
ID186,3,1,3
ID204,3,1,4
ID429,3,1,5
ID430,3,1,6
ID289,3,1,7
ID7,3,1,8
ID454,3,1,9
ID455,4,1,0
ID142,4,1,1
ID78,4,1,2
ID210,4,1,3
ID75,4,1,4
ID265,4,1,5
ID269,4,1,6
ID399,4,1,7
ID397,4,1,8
ID268,4,1,9
ID374,5,1,0
ID377,5,1,1
ID373,5,1,2
ID163,5,1,3
ID162,5,1,4
ID119,5,1,5
ID117,5,1,6
ID120,5,1,7
ID218,5,1,8
ID598,5,1,9
ID504,6,1,0
ID600,6,1,1
ID505,6,1,2
ID449,6,1,3
ID549,6,1,4
ID574,6,1,5
ID524,6,1,6
ID446,6,1,7
ID11,6,1,8
ID16,6,1,9
ID6,7,1,0
ID29,7,1,1
ID35,7,1,2
ID404,7,1,3
ID345,7,1,4
ID394,7,1,5
ID389,7,1,6
ID326,7,1,7
ID401,7,1,8
ID393,7,1,9
ID390,8,1,0
ID102,8,1,1
ID193,8,1,2
ID195,8,1,3
ID98,8,1,4
ID99,8,1,5
ID157,8,1,6
ID410,8,1,7
ID415,8,1,8
ID370,8,1,9
ID317,9,1,0
ID314,9,1,1
ID414,9,1,2
ID510,9,1,3
ID633,9,1,4
ID632,9,1,5
ID631,9,1,6
ID511,9,1,7
ID133,9,1,8
ID580,9,1,9
ID408,10,1,0
ID521,10,1,1
ID9,10,1,2
ID272,10,1,3
ID293,10,1,4
ID291,10,1,5
ID380,10,1,6
ID50,10,1,7
ID249,10,1,8
ID51,10,1,9
ID53,11,1,0
ID252,11,1,1
ID452,11,1,2
ID547,11,1,3
ID546,11,1,4
ID483,11,1,5
ID564,11,1,6
ID484,11,1,7
ID481,11,1,8
ID553,11,1,9
ID335,12,1,0
ID339,12,1,1
ID343,12,1,2
ID387,12,1,3
ID388,12,1,4
ID416,12,1,5
ID309,12,1,6
ID24,12,1,7
ID27,12,1,8
ID127,12,1,9
ID158,13,1,0
ID130,13,1,1
ID160,13,1,2
ID520,13,1,3
ID519,13,1,4
ID624,13,1,5
ID248,13,1,6
ID55,13,1,7
ID173,13,1,8
